t,gt_x,gt_y,gt_theta,gt_psi1,odom_x,odom_y,odom_theta,odom_psi1,v_cmd,w_cmd
2.000000000000000444e+00,2.027935796031698157e+00,1.088691350529086055e+00,1.119295624023392555e-01,5.081660596090960269e-02,2.028068389011294048e+00,1.086266274749574379e+00,1.119295624023391861e-01,5.106678824036094827e-02,4.992172760888354266e-01,4.917999378207555707e-03
2.100000000000000533e+00,2.077556033619228693e+00,1.094278045306458003e+00,1.123458370588110156e-01,4.867596498610041872e-02,2.077689672602673010e+00,1.091843674427538824e+00,1.123458370588108907e-01,4.886348636247857952e-02,4.993374783073864509e-01,4.162746564717046717e-03
2.200000000000000622e+00,2.127184044859362633e+00,1.099885114792799934e+00,1.126992291504406163e-01,4.658062178825209815e-02,2.127318575143243518e+00,1.097442851705845879e+00,1.126992291504404636e-01,4.670973044992614981e-02,4.994375590176757251e-01,3.533920916295701931e-03
2.300000000000000711e+00,2.176818490338957801e+00,1.105509490928813010e+00,1.130002245924454363e-01,4.453868308186328950e-02,2.176953782163242757e+00,1.103060504927445784e+00,1.130002245924453114e-01,4.461360303186148041e-02,4.995209508755679706e-01,3.009954420048505108e-03
2.400000000000000799e+00,2.226458260039349657e+00,1.111148615640744852e+00,1.132575335976853392e-01,4.255608877378273119e-02,2.226594204615349071e+00,1.108693881875080445e+00,1.132575335976851727e-01,4.258096976183721460e-02,4.995904799991401912e-01,2.573090052398557814e-03
2.500000000000000888e+00,2.276102431866882103e+00,1.116800354987025123e+00,1.134784046254868339e-01,4.063703201169136664e-02,2.276238938035036075e+00,1.114340686973150918e+00,1.134784046254866396e-01,4.061591192512696569e-02,4.996484728413960741e-01,2.208710278014641704e-03
2.600000000000000977e+00,2.325750237528069864e+00,1.122462928354309053e+00,1.136688836263974878e-01,3.878430391601894733e-02,2.325887228958737118e+00,1.119999004739117732e+00,1.136688836263972796e-01,3.872108123339184499e-02,4.996968432544986460e-01,1.904790009106427373e-03
2.700000000000001066e+00,2.375401034297796699e+00,1.128134850126476518e+00,1.138340289058142052e-01,3.699957698325691963e-02,2.375538447158214606e+00,1.125667236684385619e+00,1.138340289058139415e-01,3.689799133844966217e-02,4.997371631245254298e-01,1.651452794166674565e-03
2.800000000000001155e+00,2.425054281465251815e+00,1.133814881725517809e+00,1.139780902926214867e-01,3.528363883584995780e-02,2.425192062486793976e+00,1.131344049374312322e+00,1.139780902926211537e-01,3.514725811014474816e-02,4.997707191818095973e-01,1.440613868072177168e-03
2.900000000000001243e+00,2.474709520403142626e+00,1.139501992328869839e+00,1.141046601279690209e-01,3.363658625109998412e-02,2.474847625294450015e+00,1.137028331787260260e+00,1.141046601279687434e-01,3.346879892262644152e-02,4.997985578505810267e-01,1.265698353475841476e-03
3.000000000000001332e+00,2.524366357283670315e+00,1.145195326923946988e+00,1.142168029327449708e-01,3.205798824972363320e-02,2.524504749447438190e+00,1.142719160482407625e+00,1.142168029327446377e-01,3.186199999968887531e-02,4.998215191828772608e-01,1.121428047758943119e-03
3.100000000000001421e+00,2.574024447430482088e+00,1.150894180691467650e+00,1.143171706479651495e-01,3.054702660956786983e-02,2.574163096955655039e+00,1.148415771415411069e+00,1.143171706479648164e-01,3.032586043172723692e-02,4.998402598199586655e-01,1.003677152201842620e-03
3.200000000000001510e+00,2.623683480073454088e+00,1.156597979049596159e+00,1.144081115266377124e-01,2.910262290254754525e-02,2.623822362992781265e+00,1.154117537554480988e+00,1.144081115266374488e-01,2.885912221415504186e-02,4.998552630963012944e-01,9.094087867262679037e-04
3.300000000000001599e+00,2.673343161676075663e+00,1.162306263101515302e+00,1.144917842156672194e-01,2.772356408063603520e-02,2.673482259506906544e+00,1.159823951782408935e+00,1.144917842156670112e-01,2.746039864045678180e-02,4.998668307793915355e-01,8.367268902956526144e-04
3.400000000000001688e+00,2.701433860440029644e+00,1.167277124910776731e+00,2.492754513883773393e-01,1.599438231404904653e-01,2.701843864716444887e+00,1.163085385728024779e+00,2.492754513883772560e-01,1.614384594121507366e-01,2.854851312141034048e-01,1.347836671727102420e+00
3.500000000000001776e+00,2.732611872251356377e+00,1.176866062525297130e+00,3.583811840827568762e-01,2.621843368253117812e-01,2.733470437889429672e+00,1.171136571158927442e+00,3.583811840827568762e-01,2.651528926848392698e-01,3.263528332202647042e-01,1.091057326943795980e+00
3.600000000000001865e+00,2.765704649623638378e+00,1.190787689394722904e+00,4.468894950618553796e-01,3.398803186038522051e-01,2.767102171745280170e+00,1.183733532379905196e+00,4.468894950618554907e-01,3.439886770395235716e-01,3.591346480296178090e-01,8.850831097909862555e-01
3.700000000000001954e+00,2.799906037274237924e+00,1.208561049744166338e+00,5.188190057296357960e-01,3.976301501775919567e-01,2.801868256479476127e+00,1.200394291671319058e+00,5.188190057296360180e-01,4.025559249272481765e-01,3.855206282304151633e-01,7.192951066778048297e-01
3.800000000000002043e+00,2.834685884443293613e+00,1.229654073250226576e+00,5.773660155576896269e-01,4.392634140472765347e-01,2.837196684469340813e+00,1.220566637980278202e+00,5.773660155576897379e-01,4.447226478370475689e-01,4.068195398261547635e-01,5.854700982805369769e-01
3.900000000000002132e+00,2.869708985318933259e+00,1.253555042776515860e+00,6.250847558700109996e-01,4.679374886316290949e-01,2.872728244730612168e+00,1.243712262827147752e+00,6.250847558700108886e-01,4.736920659422360069e-01,4.240532660117559693e-01,4.771874031232112290e-01
4.000000000000001776e+00,2.904772313792455929e+00,1.279803619093669909e+00,6.640243838262280818e-01,4.862395322823733768e-01,2.908248337760631408e+00,1.269344035211199762e+00,6.640243838262280818e-01,4.920955870937315235e-01,4.380256572860866671e-01,3.893962795621723760e-01
